logFC	minuslog10FDR	threshold
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;unkn. Catenulisporaceae(f);unkn. Catenulisporaceae(f)	0.805616363071065	1.4343371164418	red2
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;unkn. Catenulisporales(o);unkn. Catenulisporales(o);unkn. Catenulisporales(o)	0.856280213024969	1.86801421347163	red2
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sphenisci	0.226598739397141	0.0356238281417167	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unkn. Corynebacterium(g)	0.705106344117598	0.913542366908846	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Turicella;unkn. Turicella(g)	1.46276513915141	0.486399280858204	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;unkn. Corynebacteriaceae(f);unkn. Corynebacteriaceae(f)	0.571896020170512	1.29581748036534	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;Dietzia lutea	0.14499622804773	0.0220067232034274	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;Dietzia psychralcaliphila	1.48384891018186	0.355646502448652	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;Dietzia sp. JS16-p6b	1.83618169746805	0.325255930756737	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;Dietzia sp. oral taxon 368	0.354072593086581	0.0541811932637107	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;unkn. Dietzia(g)	0.591780540666131	0.553446282149438	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;unkn. Dietziaceae(f);unkn. Dietziaceae(f)	0.75608787251676	1.67381073175359	red2
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia bronchialis	-0.429532145549958	0.0966991172792847	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia iterans	-1.61048065551371	0.361289150278775	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia jacobaea	2.72640383533182	0.541612438175226	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia phthalatica	-0.17051540803028	0.0317609500064552	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia polyisoprenivorans	-0.0317527482164088	0.00510589705929008	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia rubripertincta	1.17452934309499	0.390839897349292	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia sp.	0.984169062198626	0.358322849206822	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia sp. 1D	0.941168286346507	0.326384773048464	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia sp. KTR9	4.21852100162998	9.70534643621877	red2
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia sp. YC-JH1	0.166043041947517	0.0310435122261704	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;Gordonia terrae	1.10571423055101	0.633037557500195	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia;unkn. Gordonia(g)	0.905762827122486	1.18458827220364	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;unkn. Gordoniaceae(f);unkn. Gordoniaceae(f)	0.702001311356364	1.36403046970224	red2
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Hoyosella;unkn. Hoyosella(g)	-1.07696792813152	0.337604883886366	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium	0.153572830698145	0.0315014359206904	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium barrassiae	0.521689039454383	0.147052110136582	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium canettii	-0.787076587141458	0.186366604322843	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium chimaera	-0.531932302380412	0.15423084362458	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium colombiense	0.109013442274223	0.0263385366933876	gray23
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium dioxanotrophicus	0.78706190352454	0.30591977551332	gray23
